typ;otazka;obrazek;moznost_a;moznost_b;moznost_c;moznost_d;spravna;alt_odpovedi;tolerance;body
abcd;Co je to charisma?;;dar Ducha svatého daný ke službě;osobní kouzlo člověka;dary pro svaté;organizace na pomoc potřebným;A;;;1
abcd;Jak souvisí charismatická obnova s Duchem svatým?;;nijak;okrajově;částečně;zásadně;D;;;1
abcd;Co se stalo o Letnicích?;;učedníci byli zbaveni strachu a stali se svědky živého Ježíše;farizeové uznali, že Ježíš je Mesiáš;přišlo konečně léto;nastala změna ročního období;A;;;1
pravdanepravda;Charismatická obnova patří i do katolické církve.;;;;;;pravda;;;1
pravdanepravda;Křest v Duchu svatém je pro každého.;;;;;;pravda;;;1
abcd;Kteří papežové uznávají charismatickou obnovu v katolické církvi?;;Řehoř, Jan XXIII., Inocenc;Lev XIV., Benedikt, František;Pavel VI., Pius XI., Urban II.;Alexandr VI., Kalixt III., Eusebius;B;;;1
pravdanepravda;Mezi charismata patří dar modlitby v jazycích.;;;;;;pravda;;;1
pravdanepravda;I v dnešní době se vyskytuje dar proroctví.;;;;;;pravda;;;1
abcd;Kde najdeme informace o charismatech?;;v 1. listě sv. Pavla Korinťanům;v Jakubově listě;v knize Zjevení sv. Jana;v apokryfních evangeliích;A;;;1
pravdanepravda;Koordinátorkou charismatické obnovy v ČR je Kateřina Lachmanová.;;;;;;nepravda;;;1
