typ;otazka;obrazek;moznost_a;moznost_b;moznost_c;moznost_d;spravna;alt_odpovedi;tolerance;body
text;Jakou barvu měla pilulka, kterou spolkl Neo ve filmu Matrix?;;;;;;červenou;červená|cervenou|cervena;;1
text;Jaký zpěvák visel na nástěnce u Šebků místo jídelníčku ve filmu Pelíšky?;;;;;;Mick Jagger;Nick Jagger;;1
text;Jak se jmenuje království ve filmu Frozen?;;;;;;Arendelle;;;1
abcd;Doplň hlášku z filmu Kulový blesk: „Nemá někdo zájem o dobrou … kávu?“;;arabskou;bezkofeinovou;brazilskou;překapávanou;C;;;1
abcd;Z kterého filmu je hláška: „Kdo ovládá koření, ovládá vesmír.“?;;Stopařův průvodce po galaxii;Duna;Marťan;Ratatouille;B;;;1
abcd;Jak se jmenují děti Darth Vadera ze Star Wars?;;Han a Solo;Luke a Leia;Jar Jar a Bins;Padmé a Obi-Wan;B;;;1
pravdanepravda;Film Avatar získal více Oscarů než Titanic.;;;;;;nepravda;;;1
abcd;Kteří herci hráli Spider-Mana?;;Tom Cruise, Andrew Garfield, Johnny Depp;Tom Holland, Jesse Eisenberg, Jacob Elordi;Tom Holland, Andrew Garfield, Tobey Maguire;Tobey Maguire, Timothée Chalamet, Robert Pattinson;C;;;1
abcd;První ze série marvelovských superhrdinských filmů podle dějové linky je;;Iron Man;Thor;Captain America;Captain Marvel;C;;;1
text;Který herec ztvárnil tyto role: Střihoruký Edward, Willy Wonka, Jack Sparrow?;;;;;;Johnny Depp;Johny Depp;;1
