typ;otazka;obrazek;moznost_a;moznost_b;moznost_c;moznost_d;spravna;alt_odpovedi;tolerance;body
abcd;Letos je výročí 800 let od;;narození sv. Františka;obdržení stigmat;úmrtí;svatořečení;C;;;1
abcd;František byl v mládí;;plachý, nemluvný a zbožný;stydlivý, stranil se ostatních a nekomunikativní;divoký, hlučný a rozhazovačný;příjemný, laskavý a poslušný;C;;;1
abcd;U města Gubbia domluvil sv. František;;lvu;býkovi;vlkovi;psovi;C;;;1
abcd;Sv. František se setkal s muslimským sultánem;;nesetkal se s žádným;Al Málikem;Al Kámilem;Az Záhirem;C;;;1
pravdanepravda;Sv. František se při konverzi na náměstí před lidmi svlékl do naha.;;;;;;pravda;;;1
abcd;František se zasnoubil s;;paní Čistotou;paní Chudobou;paní Poslušností;paní Radostí;B;;;1
pravdanepravda;Sv. František byl vysvěcen na kněze.;;;;;;nepravda;;;1
abcd;Které řeholní společenství nesouvisí se sv. Františkem?;;minorité;kapucíni;dcery Panny Marie Pomocnice;klarisky;C;;;1
abcd;Která encyklika papeže Františka má souvislost s modlitbou sv. Františka?;;Lumen fidei;Laudato si;Fratelli tutti;Dilexit nos;B;;;1
abcd;Koho nebo co sv. František chválí v Chvalozpěvu na stvoření?;;bratra beránka;sestru lišku;sestru smrt těla;bratra motýla;C;;;1
text;Sv. František je patronem čeho?;;;;;;ekologie;ekologů|ochrany přírody|prirody|ochrany prirody;;1
