typ;otazka;obrazek;moznost_a;moznost_b;moznost_c;moznost_d;spravna;alt_odpovedi;tolerance;body
abcd;Vlajka které země je na obrázku?;vlajka_cesko.png;Česko;Polsko;Rusko;Slovinsko;A;;;
pravdanepravda;Pivo se vaří z chmele, sladu, vody a kvasnic.;;;;;;pravda;;;
text;Jak se jmenuje tradiční český vánoční sladký pletený pečivový výrobek?;;;;;;vánočka;vanocka;;
cislo;Kolik stupňů má pravý úhel?;;;;;;90;;0;
abcd;Který nástroj je na obrázku?;nastroj_housle.png;Viola;Housle;Violoncello;Kontrabas;B;;;
text;Které zvíře je největší suchozemský savec?;;;;;;slon africký;slon;;
cislo;Kolik obyvatel má přibližně Česká republika (v milionech)?;;;;;;10,5;;0,5;
pravdanepravda;Mount Everest je nejvyšší hora světa měřeno od hladiny moře.;;;;;;pravda;;;
abcd;Kolik je 7 × 8?;;54;56;58;64;B;;;
text;Doplňte přísloví: „Bez práce nejsou…";;;;;;koláče;kolace;;2
